町丁名,1999_変化率(%),1999_変化数,2000_変化率(%),2000_変化数,2001_変化率(%),2001_変化数,2002_変化率(%),2002_変化数,2003_変化率(%),2003_変化数,2004_変化率(%),2004_変化数,2005_変化率(%),2005_変化数,2006_変化率(%),2006_変化数,2007_変化率(%),2007_変化数,2008_変化率(%),2008_変化数,2009_変化率(%),2009_変化数,2010_変化率(%),2010_変化数,2011_変化率(%),2011_変化数,2012_変化率(%),2012_変化数,2013_変化率(%),2013_変化数,2014_変化率(%),2014_変化数,2015_変化率(%),2015_変化数,2016_変化率(%),2016_変化数,2017_変化率(%),2017_変化数,2018_変化率(%),2018_変化数,2019_変化率(%),2019_変化数,2020_変化率(%),2020_変化数,2021_変化率(%),2021_変化数,2022_変化率(%),2022_変化数,2023_変化率(%),2023_変化数,2024_変化率(%),2024_変化数,2025_変化率(%),2025_変化数
小峯２丁目,-2.2040816326530615,-27,-3.7562604340567614,-45,-2.515177797051171,-29,-1.1565836298932384,-13,2.07020702070207,23,-3.7037037037037033,-42,0.3663003663003663,4,0.0,0,1.0036496350364963,11,5.600722673893405,62,1.7108639863130881,20,-2.859545836837679,-34,-4.675324675324675,-54,-0.544959128065395,-6,-7.853881278538813,-86,7.928642220019821,80,2.6629935720844813,29,0.5366726296958855,6,-3.6476868327402134,-41,-0.18467220683287164,-2,9.990749306197964,108,1.0092514718250631,12,-0.9159034138218152,-11,-0.08403361344537816,-1,-1.2615643397813288,-15,1.4480408858603067,17,0.5877413937867338,7
小峯３丁目,0.0,0,-0.3703703703703704,-3,1.6109045848822798,13,-1.5853658536585367,-13,5.8240396530359355,47,4.215456674473068,36,-0.5617977528089888,-5,0.7909604519774011,7,2.3542600896860986,21,1.2048192771084338,11,-4.329004329004329,-40,-0.6787330316742082,-6,1.5945330296127564,14,0.11210762331838565,1,0.8958566629339306,8,-2.108768035516093,-19,6.235827664399093,55,19.103521878335112,179,7.885304659498208,88,-0.8305647840531563,-10,0.9212730318257957,11,0.9958506224066389,12,-2.1364009860312243,-26,0.41981528127623846,5,0.0,0,0.7525083612040134,9,0.08298755186721991,1
小峯４丁目,5.764411027568922,23,1.8957345971563981,8,1.8604651162790697,8,5.707762557077626,25,-0.4319654427645789,-2,3.470715835140998,16,1.257861635220126,6,3.9337474120082816,19,-0.398406374501992,-2,-0.6,-3,0.6036217303822937,3,5.6000000000000005,28,-0.7575757575757576,-4,-10.114503816793894,-53,19.745222929936308,93,4.432624113475177,25,4.753820033955857,28,-1.1345218800648298,-7,-2.9508196721311477,-18,10.472972972972974,62,0.0,0,0.1529051987767584,1,0.7633587786259541,5,-2.4242424242424243,-16,0.4658385093167702,3,0.0,0,-4.327666151468315,-28
小島上町,0.4524886877828055,4,-2.2522522522522523,-20,0.5760368663594471,5,-1.0309278350515463,-9,-1.7361111111111112,-15,-2.4734982332155475,-21,0.12077294685990338,1,-4.2219541616405305,-35,-2.2670025188916876,-18,-85.05154639175258,-660,2.586206896551724,3,-0.8403361344537815,-1,0.847457627118644,1,-5.88235294117647,-7,1.7857142857142856,2,0.0,0,-8.771929824561402,-10,1.9230769230769231,2,-6.60377358490566,-7,-5.05050505050505,-5,-5.319148936170213,-5,0.0,0,-3.3707865168539324,-3,-2.3255813953488373,-2,2.380952380952381,2,-2.3255813953488373,-2,3.571428571428571,3
小島下町,0.8995502248875562,24,0.44576523031203563,12,-0.14792899408284024,-4,-1.8888888888888888,-51,-0.8305020762551907,-22,1.0658545869813474,28,-1.807909604519774,-48,-0.728807057920982,-19,-1.313755795981453,-34,-72.04385277995301,-1840,-0.2801120448179272,-2,-0.5617977528089888,-4,1.694915254237288,12,-2.9166666666666665,-21,0.14306151645207438,1,-4.571428571428571,-32,-2.5449101796407185,-17,-3.0721966205837172,-20,-0.7923930269413629,-5,-1.4376996805111821,-9,-1.2965964343598055,-8,-1.9704433497536946,-12,-2.512562814070352,-15,-2.405498281786942,-14,-3.345070422535211,-19,-1.4571948998178506,-8,-2.957486136783734,-16
小沢町,4.185022026431718,19,4.862579281183932,23,-6.451612903225806,-32,6.0344827586206895,28,2.4390243902439024,12,-2.1825396825396823,-11,1.0141987829614605,5,-1.0040160642570282,-5,-4.259634888438134,-21,-4.23728813559322,-20,3.0973451327433628,14,-0.4291845493562232,-2,2.1551724137931036,10,6.751054852320674,32,1.9762845849802373,10,-2.5193798449612403,-13,-1.3916500994035785,-7,-6.451612903225806,-32,10.344827586206897,48,10.9375,56,-4.225352112676056,-24,7.536764705882352,41,4.615384615384616,27,-2.1241830065359477,-13,3.1719532554257093,19,-0.48543689320388345,-3,-2.7642276422764227,-17
小糸山町,2.5,13,1.876172607879925,10,-3.4990791896869244,-19,0.9541984732824428,5,-1.7013232514177694,-9,3.8461538461538463,20,-2.5925925925925926,-14,-1.3307984790874523,-7,-2.119460500963391,-11,1.574803149606299,8,2.5193798449612403,13,-1.1342155009451798,-6,0.9560229445506693,5,0.0,0,-1.7045454545454544,-9,1.5414258188824663,8,3.225806451612903,17,0.1838235294117647,1,-1.1009174311926606,-6,-3.339517625231911,-18,0.0,0,3.071017274472169,16,-1.48975791433892,-8,-1.7013232514177694,-9,-1.5384615384615385,-8,-4.1015625,-21,6.517311608961303,32
尾ノ上１丁目,-1.8091361374943467,-40,-3.27038231229848,-71,-0.7619047619047619,-16,2.399232245681382,50,-0.23430178069353325,-5,-4.462188821042743,-95,-1.4257620452310718,-29,-1.8952618453865335,-38,-1.3726487036095576,-27,-0.9278350515463918,-18,-1.352757544224766,-26,0.5274261603375527,10,-0.6295907660020986,-12,-1.1615628299894403,-22,5.822649572649572,109,-0.5047955577990914,-10,-1.67427701674277,-33,0.0,0,1.6511867905056758,32,-1.7258883248730965,-34,-1.5495867768595042,-30,-1.7838405036726128,-34,1.7094017094017095,32,-1.3130252100840336,-25,-1.4369345396487492,-27,-2.3218142548596115,-43,-0.8844665561083471,-16
尾ノ上２丁目,1.5141955835962144,24,6.587942821628341,106,0.9912536443148687,17,4.7921478060046185,83,-0.8815426997245178,-16,3.11284046692607,56,1.3477088948787064,25,-1.5957446808510638,-30,0.9189189189189189,17,0.05356186395286556,1,-4.336188436830835,-81,-2.238388360380526,-40,-1.6599885518030912,-29,2.7939464493597206,48,-1.0192525481313703,-18,-0.2860411899313501,-5,-3.7865748709122204,-66,-1.550387596899225,-26,0.5451241671714113,9,-1.8674698795180724,-31,-2.9465930018416207,-48,-3.6053130929791273,-57,-3.083989501312336,-47,-0.9478672985781991,-14,-3.2125768967874233,-47,-1.694915254237288,-24,-1.3649425287356323,-19
尾ノ上３丁目,3.0648610121168924,43,0.8990318118948823,13,-2.2618231665524333,-33,0.9817671809256662,14,0.9722222222222222,14,-1.994497936726272,-29,0.631578947368421,9,1.882845188284519,27,0.20533880903490762,3,-4.9863387978142075,-73,0.5751258087706687,8,-2.8591851322373123,-40,0.36791758646063283,5,-3.6656891495601176,-50,-1.9025875190258752,-25,0.3103180760279286,4,-0.15467904098994587,-2,-1.2393493415956625,-16,-0.5490196078431373,-7,0.31545741324921134,4,-3.6163522012578615,-46,-1.794453507340946,-22,-3.322259136212625,-40,-3.52233676975945,-41,0.7123775601068566,8,3.0061892130857646,34,-1.0300429184549356,-12
