町丁名,年度,変化率(%),変化タイプ
井川淵町,2008,14.17910447761194,大幅増加
近見町,2017,14.084507042253522,大幅増加
二本木２丁目,2023,14.072494669509595,大幅増加
呉服町２丁目,2007,14.07035175879397,大幅増加
春日１丁目,2002,14.047619047619047,大幅増加
山ノ内４丁目,2006,14.02439024390244,大幅増加
米屋町３丁目,2016,14.009661835748794,大幅増加
飛田町,2017,14.000000000000002,大幅増加
長嶺南８丁目,2002,13.9937106918239,大幅増加
川端町,2014,13.953488372093023,大幅増加
山ノ内２丁目,2007,13.942307692307693,大幅増加
河原町,2007,13.939393939393941,大幅増加
沼山津３丁目,2019,13.938053097345133,大幅増加
南高江５丁目,2012,13.88888888888889,大幅増加
上熊本２丁目,2014,13.874345549738221,大幅増加
紺屋町３丁目,2016,13.861386138613863,大幅増加
本山町,2002,13.855799373040753,大幅増加
月出１丁目,2006,13.774973711882229,大幅増加
春日６丁目,2010,13.768115942028986,大幅増加
戸坂町,2010,13.750000000000002,大幅増加
通町,2006,13.725490196078432,大幅増加
坪井６丁目,2004,13.666465984346779,大幅増加
秋津３丁目,2020,13.654618473895583,大幅増加
細工町５丁目,2016,13.636363636363635,大幅増加
横紺屋町,2003,13.636363636363635,大幅増加
田崎町,2025,13.636363636363635,大幅増加
新町１丁目,2001,13.613013698630136,大幅増加
渡鹿９丁目,2020,13.592233009708737,大幅増加
八幡６丁目,2018,13.585746102449889,大幅増加
江津２丁目,2021,13.580246913580247,大幅増加
徳王町,2005,13.527851458885943,大幅増加
東町３丁目,2018,13.465195891974135,大幅増加
魚屋町３丁目,2012,13.461538461538462,大幅増加
山ノ内１丁目,2009,13.453815261044177,大幅増加
山室６丁目,2009,13.452914798206278,大幅増加
武蔵ケ丘９丁目,2010,13.427561837455832,大幅増加
魚屋町２丁目,2007,13.333333333333334,大幅増加
魚屋町２丁目,2014,13.333333333333334,大幅増加
保田窪２丁目,2003,13.285457809694792,大幅増加
飛田２丁目,2001,13.225058004640372,大幅増加
保田窪本町,2011,13.212996389891696,大幅増加
新屋敷２丁目,2014,13.160032493907392,大幅増加
細工町５丁目,2013,13.157894736842104,大幅増加
今町,2018,13.131313131313133,大幅増加
中央街,2014,13.101604278074866,大幅増加
紺屋町３丁目,2014,13.095238095238097,大幅増加
野中３丁目,2008,13.05732484076433,大幅増加
武蔵ケ丘８丁目,2021,13.024282560706402,大幅増加
新市街,2018,13.008130081300814,大幅増加
黒髪７丁目,2019,12.962962962962962,大幅増加
出仲間９丁目,2004,12.949640287769784,大幅増加
南熊本２丁目,2009,12.925170068027212,大幅増加
横紺屋町,2017,12.903225806451612,大幅増加
春日２丁目,2015,12.873563218390805,大幅増加
佐土原２丁目,2016,12.849162011173185,大幅増加
九品寺６丁目,2009,12.840043525571273,大幅増加
出仲間４丁目,2002,12.827225130890053,大幅増加
八景水谷３丁目,2002,12.769010043041607,大幅増加
大江２丁目,2020,12.758620689655173,大幅増加
佐土原３丁目,2023,12.738853503184714,大幅増加
出仲間９丁目,2010,12.719298245614036,大幅増加
栄町,2006,12.698412698412698,大幅増加
出仲間３丁目,2004,12.685337726523887,大幅増加
上京塚町,2016,12.676056338028168,大幅増加
長嶺南３丁目,2008,12.665489849955868,大幅増加
春日７丁目,2000,12.648809523809524,大幅増加
