町丁名,Column_1,Column_2,Column_3
紺屋町３丁目,,,
紺屋阿弥陀寺町,,,
総数,875,417,458
練兵町,,,
美登里町,,,
船場町下１丁目,,,
船場町２丁目,,,
船場町３丁目,,,
良町１丁目,,,
良町２丁目,,,
良町３丁目,,,
良町４丁目,,,
良町５丁目,,,
花園１丁目,,,
花園２丁目,,,
花園３丁目,,,
花園４丁目,,,
花園５丁目,,,
花園６丁目,,,
花園７丁目,,,
花畑町,,,
花立１丁目,,,
花立２丁目,,,
花立３丁目,,,
花立４丁目,,,
花立５丁目,,,
花立６丁目,,,
若葉１丁目,,,
若葉２丁目,,,
若葉３丁目,,,
若葉４丁目,,,
若葉５丁目,,,
若葉６丁目,,,
草葉町,,,
荒尾町,,,
荒尾１丁目,,,
荒尾２丁目,,,
荒尾３丁目,,,
菅原町,,,
萩原町,,,
蓮台寺１丁目,,,
蓮台寺２丁目,,,
蓮台寺３丁目,,,
蓮台寺４丁目,,,
蓮台寺５丁目,,,
薄場町,,,
薄場１丁目,【秘匿】野口町、白藤５丁目を含みます,,
薄場２丁目,,,
薄場３丁目,,,
薬園町,,,
西原１丁目,,,
西原２丁目,,,
西原３丁目,,,
西唐人町,,,
西子飼町,,,
西松尾町,,,
西梶尾町,,,
西阿弥陀寺町,,,
計,男,女,
護藤町,,,
谷尾崎町,,,
貢町,,,
辛島町,,,
迎町１丁目,,,
迎町２丁目,,,
近見町,,,
近見１丁目,,,
近見２丁目,,,
近見３丁目,,,
近見４丁目,,,
近見５丁目,,,
近見６丁目,【秘匿】十禅寺３丁目を含みます,,
近見７丁目,,,
近見８丁目,,,
近見９丁目,,,
通町,,,
野中１丁目,,,
野中２丁目,,,
野中３丁目,,,
野口町,【秘匿】薄場１丁目に含めています,,
野口１丁目,,,
野口２丁目,,,
野口３丁目,,,
野口４丁目,,,
野田１丁目,,,
野田２丁目,【秘匿】八幡１丁目を含みます,,
野田３丁目,,,
釜尾町,,,
銭塘町,,,
錦ケ丘,,,
鍛冶屋町,,,
長嶺南１丁目,,,
長嶺南２丁目,,,
長嶺南３丁目,,,
長嶺南４丁目,,,
長嶺南５丁目,,,
長嶺南６丁目,,,
長嶺南７丁目,,,
長嶺南８丁目,,,
長嶺東１丁目,,,
長嶺東２丁目,,,
長嶺東３丁目,,,
長嶺東４丁目,,,
長嶺東５丁目,,,
長嶺東６丁目,,,
