town,year,event_type,effect_direction,confidence,intensity,lag_t,lag_t1,source_url,source_name,publish_date,_score
小峯4丁目,2020,commercial,increase,1.0,1.0,1,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
小峯4丁目,2020,transit,increase,1.0,1.0,0,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
小峯4丁目,2022,housing,increase,1.0,1.0,1,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
小峯4丁目,2022,transit,increase,1.0,1.0,0,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
小島上町,2008,policy_boundary,decrease,1.0,1.0,1,0,,,,"(1, 1.0, 1.0, -9223372036854775807)"
山ノ内1丁目,2007,housing,increase,1.0,1.0,1,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
山室6丁目,2006,housing,increase,1.0,1.0,1,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
山室6丁目,2006,public_edu_medical,increase,1.0,1.0,0,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
島崎7丁目,2001,policy_boundary,decrease,1.0,1.0,1,0,,,,"(1, 1.0, 1.0, -9223372036854775807)"
島崎7丁目,2006,housing,increase,1.0,1.0,1,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
川口町,2022,transit,decrease,1.0,1.0,1,0,https://www.sugimoto-kensetsu.co.jp/,株式会社杉本建設,2022-03-25,"(1, 1.0, 1.0, -1648166400000000000)"
帯山1丁目,2007,housing,increase,1.0,1.0,1,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
平田2丁目,2012,employment,increase,1.0,90.0,0,1,,,,"(1, 1.0, 90.0, -9223372036854775807)"
平田2丁目,2012,housing,increase,1.0,90.0,1,1,,,,"(1, 1.0, 90.0, -9223372036854775807)"
弥生町,2018,housing,increase,1.0,1.0,1,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
御幸木部町,2000,policy_boundary,decrease,1.0,1.0,1,0,,,,"(1, 1.0, 1.0, -9223372036854775807)"
御幸笛田町,2000,policy_boundary,decrease,1.0,1.0,1,0,,,,"(1, 1.0, 1.0, -9223372036854775807)"
御幸笛田町,2001,policy_boundary,decrease,1.0,1.0,1,0,,,,"(1, 1.0, 1.0, -9223372036854775807)"
御幸西無田町,2000,policy_boundary,decrease,1.0,1.0,1,0,,,,"(1, 1.0, 1.0, -9223372036854775807)"
御領7丁目,1999,policy_boundary,decrease,1.0,1.0,1,0,,,,"(1, 1.0, 1.0, -9223372036854775807)"
徳王町,2005,housing,increase,1.0,1.0,1,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
徳王町,2005,public_edu_medical,increase,1.0,1.0,0,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
徳王町,2005,transit,increase,1.0,1.0,0,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
徳王町,2009,policy_boundary,decrease,1.0,1.0,1,0,,,,"(1, 1.0, 1.0, -9223372036854775807)"
慶徳堀町,2013,housing,increase,1.0,1.0,1,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
戸島町,2003,policy_boundary,decrease,1.0,1.0,1,0,,,,"(1, 1.0, 1.0, -9223372036854775807)"
