town,year,pop_prev,pop_now,delta,growth_pct,class
野田3丁目,2011,0.0,819.0,819.0,819.0,jump_exception_increase
鍛冶屋町,2014,58.0,187.0,129.0,2.2241379310344827,surge
長嶺南3丁目,2006,1979.0,2222.0,243.0,0.1227892875189489,jump_exception_increase
長嶺南3丁目,2008,2266.0,2553.0,287.0,0.1266548984995587,jump_exception_increase
長嶺南4丁目,2014,1649.0,2008.0,359.0,0.2177077016373559,jump_exception_increase
長嶺東5丁目,2002,2163.0,2363.0,200.0,0.092464170134073,jump_exception_increase
長嶺東8丁目,2004,1095.0,27.0,-1068.0,-0.9753424657534246,jump_exception_decrease
長嶺東8丁目,2012,10.0,455.0,445.0,44.5,jump_exception_increase
馬渡1丁目,2002,225.0,345.0,120.0,0.5333333333333333,surge
馬渡1丁目,2003,345.0,420.0,75.0,0.217391304347826,large_increase
馬渡1丁目,2010,531.0,672.0,141.0,0.2655367231638418,large_increase
魚屋町1丁目,2020,10.0,61.0,51.0,5.1,surge
魚屋町3丁目,2006,66.0,8.0,-58.0,-0.8787878787878788,large_decrease
鶴羽田町,2010,4020.0,547.0,-3473.0,-0.8639303482587065,jump_exception_decrease
黒髪町大字坪井,2000,324.0,8.0,-316.0,-0.9753086419753086,jump_exception_decrease
龍田町弓削,2000,6174.0,4693.0,-1481.0,-0.2398769031422092,jump_exception_decrease
龍田町弓削,2006,4944.0,257.0,-4687.0,-0.9480177993527508,jump_exception_decrease
