町丁名,総人口,男性,女性,0〜4歳,5〜9歳,10〜14歳,15〜19歳,20〜24歳,25〜29歳,30〜34歳,35〜39歳,40〜44歳,45〜49歳,50〜54歳,55〜59歳,60〜64歳,65〜69歳,70〜74歳,75〜79歳,80〜84歳,85〜89歳,90〜94歳,95〜99歳,100歳以上
楠３丁目,335,128,207,8,7,13,9,6,1,5,12,10,13,20,23,12,25,49,34,37,33,13,5,0
楠４丁目,702,318,384,16,13,12,26,17,12,23,29,29,38,39,37,46,77,88,85,49,46,13,6,1
楠５丁目,876,401,475,10,24,30,40,44,18,26,30,43,56,61,78,60,72,65,74,70,51,20,4,0
楠６丁目,571,271,300,18,39,45,42,29,15,25,29,43,59,46,34,28,15,34,26,24,16,4,0,0
楠７丁目,1074,485,589,23,39,44,74,66,35,40,47,59,64,89,83,78,73,72,64,63,47,11,3,0
楠８丁目,975,463,512,41,44,32,52,55,56,52,38,47,70,81,82,51,58,61,58,52,28,10,5,2
楠野町,1124,545,579,35,46,66,56,43,35,50,71,69,76,61,69,80,75,111,76,44,35,18,7,1
九品寺１丁目,1191,571,620,42,28,34,30,81,99,92,91,88,90,79,79,56,79,85,50,39,29,16,3,1
九品寺２丁目,1218,535,683,42,48,54,69,82,75,81,99,101,108,93,65,72,61,70,29,30,15,16,7,1
九品寺３丁目,1755,820,935,72,77,57,70,134,116,112,118,120,112,118,128,109,102,87,62,72,53,24,9,3
九品寺４丁目,662,328,334,38,25,10,13,37,62,60,42,51,56,44,51,43,22,33,24,25,19,5,2,0
九品寺５丁目,1631,756,875,94,77,62,85,91,58,107,123,124,135,103,103,95,83,122,55,58,38,12,5,1
九品寺６丁目,950,450,500,30,33,56,58,54,45,39,51,73,79,94,85,78,45,44,37,18,19,8,2,2
黒髪１丁目,1110,527,583,38,34,31,56,105,77,76,66,68,73,79,62,69,58,70,43,50,32,18,5,0
黒髪２丁目,1400,706,694,30,30,39,67,207,74,72,65,77,93,77,73,79,69,113,77,60,51,34,9,4
黒髪３丁目,709,318,391,21,15,22,34,97,67,37,38,36,33,43,26,49,41,33,31,31,31,16,7,1
黒髪４丁目,1063,562,501,30,30,42,42,123,94,52,51,57,76,64,61,46,56,67,52,55,36,22,5,2
黒髪５丁目,1400,698,702,36,68,73,83,168,76,52,81,68,113,85,60,73,65,84,56,66,50,31,10,2
黒髪６丁目,1881,946,935,57,46,44,94,149,118,105,89,104,103,116,134,116,127,151,110,101,64,42,10,1
黒髪７丁目,681,355,326,21,22,28,31,100,45,41,32,41,53,38,42,23,39,44,23,25,17,12,4,0
黒髪８丁目,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
黒髪町大字坪井,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
神水１丁目,1894,844,1050,78,70,82,82,86,93,92,108,114,132,118,101,140,130,127,105,81,74,57,17,7
神水２丁目,713,344,369,27,27,20,36,42,37,46,39,49,48,65,48,52,42,53,29,31,14,8,0,0
