町丁名,総人口,男性,女性,0〜4歳,5〜9歳,10〜14歳,15〜19歳,20〜24歳,25〜29歳,30〜34歳,35〜39歳,40〜44歳,45〜49歳,50〜54歳,55〜59歳,60〜64歳,65〜69歳,70〜74歳,75〜79歳,80〜84歳,85〜89歳,90〜94歳,95〜99歳,100歳以上
呉服町１丁目,91,37,54,4,3,1,4,4,4,9,5,9,4,2,4,6,10,9,4,3,2,3,1,0
呉服町２丁目,227,99,128,12,7,9,7,13,26,20,25,23,13,16,13,20,9,6,3,4,1,0,0,0
呉服町３丁目,258,111,147,20,20,12,5,11,18,20,32,27,18,14,13,14,13,8,1,8,3,1,0,0
米屋町１丁目,485,203,282,42,33,21,23,22,23,47,52,49,37,31,25,33,20,11,7,6,2,1,0,0
米屋町２丁目,244,99,145,9,4,15,14,8,8,15,13,19,20,27,18,23,10,19,10,9,1,2,0,0
米屋町３丁目,215,87,128,7,12,22,11,12,11,14,13,15,17,9,14,24,9,5,9,5,4,1,1,0
御領１丁目,1415,690,725,90,80,71,75,65,112,103,121,96,86,93,92,123,55,46,39,28,23,13,3,1
御領２丁目,1294,602,692,61,71,64,49,60,81,105,124,85,67,63,101,93,80,76,52,26,27,6,2,1
御領３丁目,1397,670,727,98,91,95,63,63,90,123,117,101,83,68,78,102,83,54,45,18,20,5,0,0
御領４丁目,271,124,147,11,10,21,17,19,11,17,13,17,29,20,29,14,5,16,9,8,3,2,0,0
御領５丁目,882,451,431,61,39,53,47,37,66,77,81,66,37,52,71,54,46,30,31,19,8,5,2,0
御領６丁目,367,185,182,22,14,18,12,22,64,40,46,27,18,19,16,21,7,9,6,3,1,2,0,0
御領７丁目,498,257,241,56,27,26,29,38,56,76,41,38,17,20,20,14,10,11,8,6,5,0,0,0
護藤町,1392,670,722,52,60,60,66,62,68,75,97,59,74,91,111,131,89,81,74,60,54,18,9,1
細工町１丁目,133,60,73,7,5,8,7,12,14,8,8,9,7,11,3,6,5,8,6,7,2,0,0,0
細工町２丁目,64,36,28,4,3,4,1,2,1,11,5,2,4,4,6,4,4,2,1,3,3,0,0,0
細工町３丁目,161,62,99,3,3,7,12,11,9,6,8,12,16,12,11,9,8,15,6,8,2,2,1,0
細工町４丁目,233,99,134,15,12,8,7,9,15,10,25,18,15,12,15,29,12,12,5,7,4,1,2,0
細工町５丁目,43,20,23,5,0,1,2,1,1,7,6,4,1,1,2,3,5,2,0,2,0,0,0,0
栄町,566,256,310,25,27,33,32,23,31,19,36,41,34,36,37,35,27,32,30,33,23,8,4,0
桜木１丁目,911,434,477,53,54,72,59,33,52,71,77,85,62,53,36,57,37,40,30,17,19,4,0,0
桜木２丁目,743,346,397,39,44,42,40,39,47,51,56,54,40,47,44,45,42,40,28,31,7,7,0,0
