町丁名,総人口,男性,女性,0〜4歳,5〜9歳,10〜14歳,15〜19歳,20〜24歳,25〜29歳,30〜34歳,35〜39歳,40〜44歳,45〜49歳,50〜54歳,55〜59歳,60〜64歳,65〜69歳,70〜74歳,75〜79歳,80〜84歳,85〜89歳,90〜94歳,95〜99歳,100歳以上
御領６丁目,365,209,156,26,13,3,10,19,39,44,26,22,28,32,26,18,16,10,17,3,9,1,3,0
御領７丁目,511,260,251,31,26,20,26,41,58,51,38,39,46,34,20,25,17,16,6,9,7,1,0,0
護藤町,1887,923,964,118,166,121,72,54,66,100,154,153,128,94,100,94,98,112,103,68,55,20,9,2
細工町１丁目,128,57,71,4,9,8,3,7,21,14,11,4,7,7,7,4,6,3,6,4,2,1,0,0
細工町２丁目,63,32,31,1,0,2,5,7,6,1,6,4,4,3,5,4,5,3,2,5,0,0,0,0
細工町３丁目,142,58,84,3,4,5,0,5,7,3,9,6,10,14,12,12,8,9,12,11,9,1,2,0
細工町４丁目,200,82,118,0,6,8,6,7,3,8,10,9,10,21,17,11,15,23,20,10,8,4,2,2
細工町５丁目,52,21,31,2,0,1,3,3,1,4,1,7,4,3,5,4,4,3,4,2,1,0,0,0
栄町,401,175,226,8,11,21,19,16,11,12,20,14,28,25,27,28,30,43,30,22,16,13,5,2
桜木１丁目,833,373,460,31,61,51,37,32,48,46,58,63,60,60,69,48,43,40,33,18,19,11,5,0
桜木２丁目,784,372,412,43,51,49,46,38,37,45,49,54,56,41,45,39,31,51,33,37,23,7,7,2
桜木３丁目,928,436,492,44,50,46,49,62,36,35,49,63,84,81,54,58,40,52,43,28,24,24,5,1
桜木４丁目,1573,765,808,53,82,111,117,70,61,81,106,100,149,119,100,91,76,92,64,50,32,16,2,1
桜木５丁目,900,419,481,39,52,57,67,49,52,46,55,56,48,97,66,44,53,30,36,21,24,4,4,0
桜木６丁目,135,68,67,5,19,13,7,6,4,5,10,15,14,5,1,8,7,7,1,2,3,2,1,0
桜町,489,236,253,21,19,9,9,23,39,39,28,38,39,35,31,38,27,33,25,24,9,2,1,0
佐土原１丁目,1594,767,827,54,65,70,73,61,63,73,95,99,97,107,117,158,141,123,91,57,32,13,5,0
佐土原２丁目,603,299,304,25,57,71,46,15,10,23,43,64,51,42,35,30,11,29,16,18,12,3,2,0
