人口統計表,総人口,男性,女性,0〜4歳,5〜9歳,10〜14歳,15〜19歳,20〜24歳,25〜29歳,30〜34歳,35〜39歳,40〜44歳,45〜49歳,50〜54歳,55〜59歳,60〜64歳,65〜69歳,70〜74歳,75〜79歳,80〜84歳,85〜89歳,90〜94歳,95〜99歳,100歳以上
楠５丁目,957,426,531,7,51,68,86,69,43,39,67,88,99,101,103,92,111,117,116,74,36,11,5,0
楠６丁目,581,280,301,44,63,83,39,26,22,60,82,79,63,54,42,45,53,32,42,17,8,7,0,0
楠７丁目,1196,558,638,37,89,126,98,96,83,74,106,120,144,138,110,115,95,103,116,64,27,8,5,0
楠８丁目,1105,528,577,77,94,128,128,88,77,67,110,132,185,81,84,79,98,87,62,28,17,8,3,0
楠野町,1103,517,586,61,73,86,86,65,86,77,98,95,99,107,121,138,124,107,92,64,27,12,2,0
九品寺１丁目,1214,557,657,89,42,35,64,80,175,175,140,166,91,101,117,140,111,79,61,51,33,18,2,1
九品寺２丁目,1058,457,601,73,96,76,64,101,113,134,129,153,119,73,84,81,64,42,31,31,33,14,4,0
九品寺３丁目,1700,779,921,135,140,101,126,157,213,204,163,158,184,155,121,164,102,79,134,69,50,17,6,1
九品寺４丁目,760,345,415,55,12,19,31,53,123,110,89,72,83,71,53,73,62,56,56,42,16,23,6,0
九品寺５丁目,1469,675,794,106,88,90,117,83,170,168,166,137,151,147,109,175,124,106,91,65,32,16,3,0
九品寺６丁目,1011,465,546,72,95,81,96,94,80,76,136,114,145,126,90,77,68,48,30,23,16,7,2,0
黒髪１丁目,1221,586,635,63,65,82,97,140,148,122,113,115,122,99,105,100,87,111,75,77,60,23,2,1
黒髪２丁目,1570,778,792,70,66,73,100,363,197,151,151,115,106,113,108,152,149,119,107,85,71,39,11,2
黒髪３丁目,765,347,418,41,32,19,64,137,101,76,79,52,45,67,68,69,57,49,49,56,39,8,3,1
黒髪４丁目,1148,587,561,40,58,66,97,218,132,109,109,110,87,95,91,103,93,106,76,60,54,15,16,0
黒髪５丁目,1534,746,788,94,77,76,110,328,152,142,161,155,120,100,118,128,94,124,109,85,61,35,8,3
黒髪６丁目,796,400,396,47,31,52,85,248,114,64,75,60,76,49,48,69,40,47,39,30,17,3,2,0
黒髪８丁目,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
黒髪町大字坪井,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
神水１丁目,1856,804,1052,98,116,165,140,126,126,120,178,175,168,198,175,187,125,130,117,127,98,66,17,8
神水２丁目,1589,726,863,51,118,124,184,106,94,94,110,177,210,204,175,131,147,113,111,77,56,26,6,1
慶徳堀町,175,76,99,16,13,8,10,11,19,21,25,42,25,18,15,15,0,5,4,3,0,1,0,0
健軍１丁目,1401,619,782,99,83,105,94,113,135,148,145,161,136,162,134,118,103,84,77,71,32,13,5,2
健軍２丁目,1040,468,572,46,82,68,102,104,127,88,134,114,112,107,103,99,50,63,48,34,25,2,0,0
健軍３丁目,2685,1266,1419,185,209,213,227,204,266,302,325,300,297,285,256,269,179,164,120,78,53,14,5,0
健軍４丁目,1882,852,1030,135,116,113,121,112,223,211,220,210,186,159,179,200,158,126,121,78,51,15,0,0
健軍５丁目,180,83,97,11,15,14,8,9,12,12,17,13,14,29,16,11,20,20,13,16,11,1,1,0
