人口統計表,総人口,男性,女性,0〜4歳,5〜9歳,10〜14歳,15〜19歳,20〜24歳,25〜29歳,30〜34歳,35〜39歳,40〜44歳,45〜49歳,50〜54歳,55〜59歳,60〜64歳,65〜69歳,70〜74歳,75〜79歳,80〜84歳,85〜89歳,90〜94歳,95〜99歳,100歳以上
南熊本３丁目,292.0,134.0,158.0,9.0,11.0,7.0,12.0,61.0,41.0,26.0,37.0,20.0,23.0,33.0,34.0,33.0,24.0,15.0,19.0,10.0,10.0,1.0,0.0,0.0
南熊本４丁目,296.0,138.0,158.0,20.0,4.0,9.0,26.0,50.0,46.0,28.0,28.0,36.0,32.0,18.0,31.0,26.0,29.0,13.0,17.0,7.0,13.0,1.0,0.0,0.0
南熊本５丁目,472.0,213.0,259.0,49.0,15.0,13.0,23.0,77.0,72.0,65.0,36.0,44.0,42.0,64.0,38.0,28.0,39.0,30.0,26.0,12.0,10.0,1.0,1.0,0.0
南千反畑町,538.0,235.0,303.0,27.0,15.0,28.0,38.0,53.0,65.0,46.0,36.0,42.0,45.0,61.0,61.0,36.0,60.0,55.0,48.0,36.0,17.0,3.0,1.0,0.0
南高江１丁目,1627.0,783.0,844.0,133.0,134.0,176.0,166.0,167.0,200.0,159.0,199.0,157.0,201.0,166.0,131.0,128.0,111.0,71.0,56.0,27.0,16.0,12.0,0.0,0.0
南高江２丁目,1004.0,452.0,552.0,68.0,88.0,80.0,111.0,98.0,96.0,84.0,88.0,93.0,156.0,88.0,109.0,89.0,77.0,40.0,44.0,27.0,16.0,3.0,1.0,0.0
南高江３丁目,185.0,104.0,81.0,37.0,22.0,13.0,2.0,25.0,63.0,45.0,23.0,12.0,16.0,8.0,8.0,7.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0
南高江４丁目,1327.0,587.0,740.0,81.0,111.0,135.0,155.0,181.0,104.0,87.0,101.0,154.0,204.0,183.0,116.0,83.0,81.0,52.0,36.0,32.0,16.0,2.0,0.0,0.0
南高江５丁目,37.0,13.0,24.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,9.0,1.0,1.0,5.0,0.0,8.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
南高江６丁目,763.0,353.0,410.0,49.0,45.0,57.0,66.0,64.0,61.0,67.0,84.0,62.0,83.0,89.0,73.0,83.0,88.0,66.0,44.0,23.0,10.0,2.0,0.0,0.0
南高江７丁目,593.0,279.0,314.0,32.0,50.0,78.0,85.0,59.0,34.0,52.0,26.0,78.0,85.0,65.0,43.0,41.0,47.0,50.0,28.0,14.0,3.0,2.0,0.0,0.0
南高江町,45.0,31.0,14.0,0.0,0.0,0.0,4.0,6.0,5.0,0.0,4.0,6.0,16.0,17.0,5.0,8.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
南坪井町,601.0,236.0,365.0,35.0,22.0,27.0,41.0,58.0,64.0,54.0,49.0,52.0,66.0,81.0,77.0,53.0,38.0,39.0,27.0,30.0,17.0,7.0,0.0,0.0
南町,1151.0,526.0,625.0,94.0,79.0,86.0,91.0,103.0,114.0,99.0,112.0,100.0,122.0,132.0,93.0,116.0,120.0,76.0,66.0,42.0,20.0,10.0,2.0,0.0
宮内,54.0,30.0,24.0,0.0,0.0,4.0,7.0,1.0,10.0,2.0,2.0,5.0,5.0,14.0,10.0,4.0,1.0,3.0,4.0,8.0,4.0,0.0,0.0,0.0
御幸木部町,1264.0,580.0,684.0,58.0,67.0,94.0,128.0,107.0,113.0,83.0,67.0,135.0,139.0,154.0,145.0,134.0,128.0,108.0,94.0,51.0,24.0,9.0,6.0,0.0
御幸西無田町,477.0,221.0,256.0,21.0,33.0,30.0,54.0,64.0,40.0,26.0,38.0,34.0,79.0,49.0,45.0,44.0,44.0,37.0,25.0,15.0,16.0,2.0,2.0,0.0
御幸笛田町,6890.0,3221.0,3669.0,415.0,522.0,674.0,837.0,777.0,645.0,511.0,609.0,712.0,914.0,886.0,634.0,515.0,501.0,371.0,284.0,146.0,99.0,48.0,10.0,1.0
