人口統計表,総人口,男性,女性,0〜4歳,5〜9歳,10〜14歳,15〜19歳,20〜24歳,25〜29歳,30〜34歳,35〜39歳,40〜44歳,45〜49歳,50〜54歳,55〜59歳,60〜64歳,65〜69歳,70〜74歳,75〜79歳,80〜84歳,85〜89歳,90〜94歳,95〜99歳,100歳以上
河原町,151,65,86,4,4,12,26,7,5,3,7,4,26,27,16,25,14,10,5,12,7,2,0,0
北迫町,214,95,119,21,20,18,8,10,15,27,16,30,16,10,19,12,14,25,12,10,21,3,2,0
北千反畑町,387,174,213,9,13,14,33,47,32,19,26,48,59,38,30,17,30,57,37,24,15,9,1,3
京塚本町,1654,769,885,79,125,160,128,127,48,88,124,157,227,161,162,128,133,209,164,96,59,33,13,2
京町１丁目,1273,597,676,50,68,82,77,96,91,63,106,109,133,162,150,124,119,138,97,104,57,27,14,3
京町２丁目,1737,766,971,121,124,141,130,99,100,122,152,157,230,177,193,157,130,151,116,75,89,26,7,6
京町本丁（中央区）,1037,456,581,56,96,127,74,55,47,30,70,131,149,160,92,101,112,69,39,35,29,13,8,0
京町本丁,232,116,116,2,6,11,18,38,14,14,7,20,31,33,30,33,26,20,18,12,4,8,3,0
草葉町,528,241,287,16,32,20,26,65,60,43,44,50,54,72,58,55,31,55,24,27,15,21,1,0
楠１丁目,1128,482,646,29,47,75,75,79,32,43,39,65,94,109,97,104,111,169,146,141,104,37,13,1
楠２丁目,683,303,380,21,21,26,32,34,46,33,44,50,57,78,59,46,90,103,72,75,56,34,8,1
楠３丁目,344,129,215,4,18,12,17,14,2,4,18,16,17,31,25,33,25,49,73,39,48,23,4,1
楠４丁目,646,299,347,9,21,14,28,27,11,28,36,38,42,54,52,57,100,127,118,83,62,24,12,2
楠５丁目,884,414,470,40,41,34,57,51,54,51,49,51,78,83,116,99,92,99,88,95,79,33,7,1
楠６丁目,588,277,311,28,47,66,55,62,49,46,30,52,91,72,45,47,34,32,35,28,35,9,2,0
楠７丁目,1037,454,583,45,58,44,100,80,61,41,81,75,109,110,108,118,89,101,80,86,70,31,4,0
楠８丁目,973,477,496,66,57,48,65,104,70,100,70,50,91,100,151,73,85,76,89,80,47,17,8,3
楠野町,1147,555,592,57,84,89,94,71,73,65,90,100,122,99,104,112,107,136,114,90,49,34,11,1
九品寺１丁目,1210,593,617,36,49,52,51,131,174,124,143,135,148,153,87,111,98,125,75,47,35,24,5,0
九品寺２丁目,1215,548,667,58,82,70,91,107,117,104,141,140,146,147,127,96,100,94,65,34,22,17,5,0
九品寺３丁目,1749,827,922,113,119,94,111,179,153,176,164,182,146,173,203,155,129,169,95,79,90,26,16,4
九品寺４丁目,671,331,340,52,44,21,14,55,84,91,82,84,69,75,83,58,38,38,46,31,22,14,0,1
九品寺５丁目,1732,796,936,138,148,98,96,138,119,157,202,196,212,171,152,147,122,158,108,77,51,32,5,1
九品寺６丁目,1028,486,542,55,60,77,103,81,64,95,83,89,156,117,139,127,88,62,52,32,15,15,4,0
黒髪１丁目,1082,518,564,50,53,39,76,174,94,98,110,83,124,113,115,91,84,84,79,70,36,19,8,0
黒髪２丁目,1401,714,687,47,46,58,112,368,127,110,89,103,134,136,90,120,113,140,120,90,59,39,12,2
黒髪３丁目,701,325,376,44,19,28,49,154,95,66,60,50,63,51,36,57,60,48,44,33,31,32,6,0
黒髪４丁目,1094,586,508,39,45,42,82,296,147,89,74,80,108,102,91,90,67,93,71,74,55,28,6,1
黒髪５丁目,1811,934,877,61,71,80,114,246,168,143,147,151,169,178,174,206,184,216,153,128,104,36,15,1
黒髪６丁目,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
黒髪７丁目（北区）,123,67,56,12,6,4,1,18,23,16,13,14,15,12,17,9,8,8,7,3,2,2,0,0
黒髪７丁目（中央区）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
黒髪８丁目,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
黒髪町大字坪井,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
神水１丁目,1853,821,1032,103,97,117,126,130,125,132,141,165,179,177,157,191,192,193,152,111,90,70,20,6
神水２丁目,719,338,381,38,33,30,53,62,75,68,76,66,67,75,80,67,77,63,49,39,26,12,1,0
神水本町,86,38,48,0,2,4,2,9,24,11,14,12,12,10,0,1,5,3,6,5,3,0,1,0
神水本町（中央区）,1810,828,982,92,150,116,145,100,62,104,157,166,161,202,250,225,200,138,130,97,73,48,20,2
慶徳堀町,182,90,92,7,14,7,10,16,24,9,18,26,23,31,28,22,17,12,3,2,3,0,0,0
健軍１丁目,1374,635,739,100,99,110,86,110,113,110,109,143,136,150,137,154,118,92,86,71,46,26,13,0
健軍２丁目,1058,496,562,55,76,62,78,101,120,92,104,96,138,115,113,97,101,80,33,45,32,15,1,0
健軍３丁目,2487,1178,1309,120,168,147,171,215,224,206,203,221,249,297,283,324,226,223,151,121,68,27,21,0
健軍４丁目,1847,864,983,120,103,131,139,145,139,153,174,185,216,199,179,160,170,172,117,99,72,27,10,1
健軍５丁目,199,91,108,10,12,16,16,11,11,9,11,19,29,18,13,35,17,10,17,17,13,2,4,0
健軍本町,2475,1159,1316,150,161,154,197,215,193,189,235,230,265,311,273,272,235,208,131,113,76,19,7,0
小糸山町,654,312,342,99,60,50,34,39,62,92,84,83,71,64,42,39,35,44,33,16,14,3,2,0
幸田１丁目,474,223,251,27,26,52,35,27,27,56,39,45,39,36,35,62,50,45,35,31,19,6,3,2
幸田２丁目,649,319,330,86,33,41,49,56,73,78,39,41,77,80,66,61,39,63,26,22,24,10,4,0
紺屋阿弥陀寺町,11,4,7,2,1,0,0,0,0,0,0,3,0,0,0,1,1,3,0,0,4,0,0,0
紺屋今町,79,33,46,2,3,1,0,24,10,8,10,14,6,6,7,2,4,2,2,6,5,0,0,0
紺屋町１丁目,118,55,63,7,9,5,6,10,25,28,13,12,13,17,12,3,8,4,0,1,0,0,0,0
紺屋町２丁目,100,44,56,10,6,2,3,7,11,15,13,27,10,8,5,11,3,3,2,4,3,1,0,0
紺屋町３丁目,111,47,64,9,8,6,3,8,15,9,23,11,18,10,9,8,5,1,2,3,10,0,0,0
子飼本町,564,274,290,18,21,36,64,125,37,40,42,52,69,42,47,29,40,52,44,34,25,16,4,1
国府１丁目,1407,659,748,69,101,70,76,88,121,102,146,146,153,171,123,131,116,125,110,89,73,38,16,2
国府２丁目,2040,879,1161,127,152,133,162,135,132,178,177,178,206,217,159,188,193,151,145,131,91,45,17,2
国府３丁目,2864,1329,1535,132,200,197,206,264,231,201,233,233,301,339,288,314,291,278,190,137,92,53,12,1
国府４丁目,1233,571,662,88,95,97,94,102,87,80,129,136,129,118,110,107,134,120,69,46,29,21,10,3
国府本町,1355,657,698,109,92,108,105,110,119,113,141,124,151,122,136,110,116,124,94,54,53,22,8,1
小沢町,618,264,354,46,32,31,22,39,71,54,66,80,74,73,44,45,39,49,44,30,27,13,2,1
古城町,38,18,20,0,2,2,2,0,2,2,0,0,2,2,11,2,0,5,2,14,6,2,0,0
壺川１丁目,726,340,386,28,50,45,51,51,38,53,40,54,74,78,105,43,79,100,55,51,37,26,7,1
壺川２丁目,714,343,371,44,62,56,67,57,41,68,57,87,76,68,76,53,52,67,35,32,34,21,4,0
