町丁名,総人口,男性,女性,0〜4歳,5〜9歳,10〜14歳,15〜19歳,20〜24歳,25〜29歳,30〜34歳,35〜39歳,40〜44歳,45〜49歳,50〜54歳,55〜59歳,60〜64歳,65〜69歳,70〜74歳,75〜79歳,80〜84歳,85〜89歳,90〜94歳,95〜99歳,100歳以上
桜木２丁目,768.0,363.0,405.0,55.0,50.0,43.0,36.0,42.0,48.0,61.0,61.0,50.0,48.0,45.0,42.0,41.0,44.0,41.0,32.0,18.0,10.0,1.0,0.0,0.0
桜木３丁目,925.0,461.0,464.0,66.0,64.0,64.0,42.0,41.0,61.0,81.0,73.0,74.0,70.0,53.0,60.0,41.0,33.0,36.0,34.0,17.0,9.0,3.0,2.0,1.0
桜木４丁目,1357.0,667.0,690.0,83.0,66.0,90.0,94.0,94.0,95.0,98.0,98.0,102.0,106.0,121.0,89.0,52.0,57.0,36.0,41.0,20.0,8.0,3.0,3.0,1.0
桜木５丁目,779.0,363.0,416.0,52.0,50.0,55.0,56.0,42.0,33.0,64.0,83.0,52.0,54.0,52.0,43.0,37.0,36.0,36.0,16.0,10.0,5.0,1.0,2.0,0.0
桜木６丁目,45.0,24.0,21.0,4.0,2.0,1.0,2.0,1.0,4.0,3.0,0.0,4.0,1.0,1.0,3.0,1.0,5.0,5.0,4.0,3.0,1.0,0.0,0.0,0.0
桜町,239.0,100.0,139.0,4.0,6.0,8.0,2.0,19.0,18.0,12.0,18.0,12.0,26.0,13.0,27.0,19.0,15.0,16.0,9.0,7.0,2.0,4.0,2.0,0.0
佐土原１丁目,1778.0,850.0,928.0,80.0,84.0,136.0,152.0,118.0,100.0,117.0,99.0,151.0,156.0,154.0,151.0,83.0,59.0,53.0,34.0,35.0,8.0,6.0,1.0,1.0
佐土原２丁目,291.0,134.0,157.0,15.0,9.0,32.0,15.0,15.0,12.0,22.0,16.0,23.0,21.0,13.0,26.0,17.0,17.0,11.0,9.0,8.0,7.0,2.0,1.0,0.0
佐土原３丁目,152.0,77.0,75.0,11.0,7.0,8.0,8.0,17.0,10.0,11.0,8.0,7.0,13.0,12.0,8.0,7.0,8.0,9.0,4.0,2.0,1.0,0.0,1.0,0.0
三郎１丁目,1297.0,610.0,687.0,45.0,50.0,63.0,69.0,89.0,85.0,112.0,90.0,71.0,93.0,112.0,115.0,74.0,59.0,65.0,46.0,37.0,16.0,4.0,1.0,1.0
三郎２丁目,867.0,400.0,467.0,38.0,39.0,38.0,26.0,33.0,48.0,53.0,55.0,49.0,50.0,51.0,64.0,47.0,64.0,64.0,83.0,48.0,14.0,2.0,1.0,0.0
島崎１丁目,2878.0,1306.0,1572.0,170.0,144.0,152.0,149.0,168.0,179.0,240.0,250.0,225.0,184.0,186.0,189.0,130.0,138.0,140.0,91.0,80.0,36.0,19.0,7.0,1.0
島崎２丁目,2787.0,1283.0,1504.0,154.0,144.0,126.0,149.0,189.0,186.0,230.0,228.0,178.0,172.0,171.0,216.0,127.0,136.0,137.0,102.0,66.0,51.0,18.0,7.0,0.0
島崎３丁目,1293.0,591.0,702.0,42.0,50.0,60.0,57.0,61.0,83.0,68.0,71.0,76.0,77.0,90.0,124.0,93.0,77.0,74.0,77.0,55.0,34.0,17.0,6.0,1.0
島崎４丁目,984.0,463.0,521.0,34.0,59.0,56.0,48.0,61.0,60.0,68.0,64.0,70.0,52.0,75.0,85.0,45.0,47.0,49.0,35.0,37.0,27.0,8.0,4.0,0.0
島崎５丁目,1864.0,854.0,1010.0,66.0,78.0,81.0,100.0,104.0,110.0,110.0,102.0,98.0,125.0,138.0,194.0,111.0,99.0,104.0,112.0,71.0,42.0,10.0,8.0,1.0
島崎６丁目,1902.0,796.0,1106.0,89.0,93.0,77.0,72.0,111.0,123.0,125.0,103.0,83.0,103.0,131.0,159.0,120.0,108.0,96.0,105.0,85.0,67.0,28.0,19.0,5.0
島崎７丁目,713.0,337.0,376.0,19.0,28.0,37.0,51.0,28.0,46.0,41.0,28.0,36.0,50.0,63.0,102.0,55.0,42.0,37.0,28.0,13.0,5.0,1.0,1.0,2.0
清水亀井町,1166.0,535.0,631.0,73.0,149.0,126.0,66.0,39.0,64.0,101.0,117.0,79.0,41.0,63.0,55.0,46.0,28.0,49.0,37.0,18.0,9.0,5.0,1.0,0.0
清水東町,1304.0,612.0,692.0,73.0,51.0,44.0,42.0,70.0,114.0,111.0,82.0,64.0,86.0,58.0,101.0,75.0,81.0,83.0,82.0,42.0,29.0,11.0,4.0,1.0
清水本町,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
清水町大字打越,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
清水町大字松崎,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
清水町大字室園,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
